0,2.5,5,7.5,10
2.5,2.5,0.5,0.5,2.5
-1,1,1,-1,-1
1,1,1,1,1
1,1,-1,-1,1
0.5,2.5,2.5,0.5,0.5
1,1,1,1,1
-0.5,-0.5,-2.5,-2.5,-0.5
-1,1,1,-1,-1
1,1,1,1,1
1,1,-1,-1,1
-2.5,-0.5,-0.5,-2.5,-2.5
1,1,1,1,1
