0,3.75,15,18.75,30
4.3,4.3,-1.7,-1.7,4.3
-1,1,1,-1,-1
1,1,1,1,1
0,0,0,0,0
3.40172209268743,3.40172209268743,-2.59827790731257,-2.59827790731257,3.40172209268743
0.2363734711837,2.2363734711837,2.2363734711837,0.2363734711837,0.2363734711837
1,1,1,1,1
0,0,0,0,0
1.94827790731257,1.94827790731257,-4.05172209268743,-4.05172209268743,1.94827790731257
-0.235879172019785,1.76412082798022,1.76412082798022,-0.235879172019785,-0.235879172019785
1,1,1,1,1
0,0,0,0,0
1.94827790731257,1.94827790731257,-4.05172209268743,-4.05172209268743,1.94827790731257
-1.76412082798021,0.235879172019785,0.235879172019785,-1.76412082798021,-1.76412082798021
1,1,1,1,1
0,0,0,0,0
3.40172209268743,3.40172209268743,-2.59827790731257,-2.59827790731257,3.40172209268743
-2.2363734711837,-0.2363734711837,-0.2363734711837,-2.2363734711837,-2.2363734711837
1,1,1,1,1
0,0,0,0,0
