0,0.2,0.4,0.6,0.8,1,1.2,1.4,1.6,1.8,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,4,4.2,4.4,4.6,4.8,5,5.2,5.4,5.6,5.8,6,6.2,6.4,6.6,6.8,7,7.2,7.4,7.6,7.8,8,8.2,8.4,8.6,8.8,9,9.2,9.4,9.6,9.8,10,10.2,10.4,10.6,10.8,11,11.2,11.4,11.6,11.8,12,12.2,12.4,12.6,12.8,13,13.2,13.4,13.6,13.8,14
-1.4755,-1.4755,-1.4755,-1.4755,-1.4755,-1.4755,-1.4755,-1.4755,-1.4755,-1.4755,-1.4755,-1.4755,-1.4755,-1.4755,-1.4755,-1.4753,-1.4712,-1.4515,-1.4018,-1.3095,-1.1671,-0.97256,-0.72908,-0.44544,-0.1353,0.18412,0.49428,0.77793,1.0214,1.216,1.3584,1.4507,1.5005,1.5201,1.5243,1.5245,1.5245,1.5245,1.5245,1.5245,1.5245,1.5245,1.5245,1.5245,1.5245,1.5245,1.5245,1.5245,1.5245,1.5245,1.5243,1.5201,1.5005,1.4507,1.3585,1.2161,1.0215,0.77803,0.49438,0.18424,-0.13518,-0.44533,-0.72899,-0.97249,-1.1671,-1.3095,-1.4018,-1.4515,-1.4712,-1.4753,-1.4755
-0.84549,-0.84467,-0.82949,-0.76949,-0.63987,-0.43277,-0.15871,0.15453,0.46777,0.74182,0.94891,1.0785,1.1385,1.1537,1.1545,1.1545,1.1545,1.1545,1.1545,1.1545,1.1545,1.1545,1.1545,1.1545,1.1545,1.1545,1.1545,1.1545,1.1545,1.1545,1.1545,1.1545,1.1545,1.1545,1.1545,1.1545,1.1537,1.1385,1.0785,0.94887,0.74177,0.46771,0.15446,-0.15877,-0.43281,-0.6399,-0.76951,-0.8295,-0.84467,-0.84549,-0.84549,-0.84549,-0.84549,-0.84549,-0.84549,-0.84549,-0.84549,-0.84549,-0.84549,-0.84549,-0.84549,-0.84549,-0.84549,-0.84549,-0.84549,-0.84549,-0.84549,-0.84549,-0.84549,-0.84549,-0.84549
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
