0,0.2,0.4,0.6,0.8,1,1.2,1.4,1.6,1.8,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,4,4.2,4.4,4.6,4.8,5,5.2,5.4,5.6,5.8,6,6.2,6.4,6.6,6.8,7,7.2,7.4,7.6,7.8,8,8.2,8.4,8.6,8.8,9,9.2,9.4,9.6,9.8,10,10.2,10.4,10.6,10.8,11,11.2,11.4,11.6,11.8,12,12.2,12.4,12.6,12.8,13,13.2,13.4,13.6,13.8,14,14.2,14.4,14.6,14.8,15,15.2,15.4,15.6,15.8,16,16.2,16.4,16.6,16.8,17,17.2,17.4,17.6,17.8,18,18.2,18.4,18.6,18.8,19,19.2,19.4,19.6,19.8,20,20.2,20.4,20.6,20.8,21,21.2,21.4,21.6,21.8,22
-0.69098,-0.69098,-0.69098,-0.69098,-0.69098,-0.69098,-0.69098,-0.69098,-0.69098,-0.69098,-0.69098,-0.69098,-0.69098,-0.69098,-0.69098,-0.69098,-0.69098,-0.69098,-0.69098,-0.69098,-0.69098,-0.69098,-0.69098,-0.69098,-0.69098,-0.69098,-0.69098,-0.69098,-0.69098,-0.69098,-0.69098,-0.69095,-0.69009,-0.68558,-0.67285,-0.64674,-0.60249,-0.53633,-0.44578,-0.32962,-0.18797,-0.022244,0.16483,0.36926,0.58596,0.80903,1.0321,1.2488,1.4532,1.6403,1.806,1.9477,2.0638,2.1544,2.2205,2.2648,2.2909,2.3036,2.3081,2.309,2.309,2.309,2.309,2.309,2.309,2.309,2.309,2.309,2.309,2.309,2.309,2.309,2.309,2.309,2.309,2.309,2.309,2.309,2.309,2.309,2.309,2.309,2.3081,2.3036,2.2909,2.2648,2.2205,2.1544,2.0638,1.9477,1.806,1.6403,1.4532,1.2488,1.0321,0.80901,0.58594,0.36923,0.16481,-0.022261,-0.18798,-0.32963,-0.44579,-0.53634,-0.60249,-0.64675,-0.67286,-0.68558,-0.69009,-0.69095,-0.69098
-1.9511,-1.9511,-1.9511,-1.9511,-1.9511,-1.9511,-1.9511,-1.9511,-1.9511,-1.9511,-1.9511,-1.9509,-1.9475,-1.9316,-1.8921,-1.8199,-1.7102,-1.5624,-1.3805,-1.1728,-0.95105,-0.72932,-0.52159,-0.33972,-0.19196,-0.082233,-0.010051,0.029482,0.04534,0.048784,0.048943,0.048943,0.048943,0.048943,0.048943,0.048943,0.048943,0.048943,0.048943,0.048943,0.048943,0.048943,0.048943,0.048943,0.048943,0.048943,0.048943,0.048943,0.048943,0.048943,0.048943,0.048943,0.048943,0.048943,0.048943,0.048943,0.048943,0.048943,0.048943,0.048943,0.048943,0.048784,0.04534,0.029481,-0.010052,-0.082235,-0.19196,-0.33973,-0.52159,-0.72933,-0.95106,-1.1728,-1.3805,-1.5624,-1.7102,-1.8199,-1.8921,-1.9316,-1.9475,-1.9509,-1.9511,-1.9511,-1.9511,-1.9511,-1.9511,-1.9511,-1.9511,-1.9511,-1.9511,-1.9511,-1.9511,-1.9511,-1.9511,-1.9511,-1.9511,-1.9511,-1.9511,-1.9511,-1.9511,-1.9511,-1.9511,-1.9511,-1.9511,-1.9511,-1.9511,-1.9511,-1.9511,-1.9511,-1.9511,-1.9511,-1.9511
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.809,-1.809,-1.809,-1.809,-1.809,-1.809,-1.809,-1.809,-1.809,-1.809,-1.809,-1.809,-1.809,-1.809,-1.809,-1.809,-1.809,-1.809,-1.809,-1.809,-1.809,-1.809,-1.809,-1.809,-1.809,-1.809,-1.809,-1.809,-1.809,-1.809,-1.809,-1.809,-1.8081,-1.8036,-1.7909,-1.7648,-1.7205,-1.6544,-1.5638,-1.4477,-1.306,-1.1403,-0.95321,-0.74878,-0.53207,-0.30901,-0.085938,0.13077,0.33519,0.52226,0.68798,0.82963,0.94579,1.0363,1.1025,1.1467,1.1729,1.1856,1.1901,1.1909,1.191,1.191,1.191,1.191,1.191,1.191,1.191,1.191,1.191,1.191,1.191,1.191,1.191,1.191,1.191,1.191,1.191,1.191,1.191,1.191,1.191,1.1909,1.1901,1.1856,1.1729,1.1467,1.1025,1.0363,0.94578,0.82962,0.68797,0.52224,0.33517,0.13074,-0.085962,-0.30903,-0.5321,-0.7488,-0.95323,-1.1403,-1.306,-1.4477,-1.5638,-1.6544,-1.7205,-1.7648,-1.7909,-1.8036,-1.8081,-1.809,-1.809
-1.5878,-1.5878,-1.5878,-1.5878,-1.5878,-1.5878,-1.5878,-1.5878,-1.5878,-1.5878,-1.5878,-1.5876,-1.5842,-1.5683,-1.5288,-1.4566,-1.3469,-1.1991,-1.0173,-0.80952,-0.58778,-0.36605,-0.15832,0.02355,0.17131,0.28104,0.35322,0.39275,0.40861,0.41206,0.41221,0.41221,0.41221,0.41221,0.41221,0.41221,0.41221,0.41221,0.41221,0.41221,0.41221,0.41221,0.41221,0.41221,0.41221,0.41221,0.41221,0.41221,0.41221,0.41221,0.41221,0.41221,0.41221,0.41221,0.41221,0.41221,0.41221,0.41221,0.41221,0.41221,0.41221,0.41206,0.40861,0.39275,0.35322,0.28104,0.17131,0.023546,-0.15832,-0.36605,-0.58779,-0.80952,-1.0173,-1.1991,-1.3469,-1.4566,-1.5288,-1.5683,-1.5842,-1.5876,-1.5878,-1.5878,-1.5878,-1.5878,-1.5878,-1.5878,-1.5878,-1.5878,-1.5878,-1.5878,-1.5878,-1.5878,-1.5878,-1.5878,-1.5878,-1.5878,-1.5878,-1.5878,-1.5878,-1.5878,-1.5878,-1.5878,-1.5878,-1.5878,-1.5878,-1.5878,-1.5878,-1.5878,-1.5878,-1.5878,-1.5878
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.809,-1.809,-1.809,-1.809,-1.809,-1.809,-1.809,-1.809,-1.809,-1.809,-1.809,-1.809,-1.809,-1.809,-1.809,-1.809,-1.809,-1.809,-1.809,-1.809,-1.809,-1.809,-1.809,-1.809,-1.809,-1.809,-1.809,-1.809,-1.809,-1.809,-1.809,-1.809,-1.8081,-1.8036,-1.7909,-1.7648,-1.7205,-1.6544,-1.5638,-1.4477,-1.306,-1.1403,-0.95321,-0.74878,-0.53207,-0.30901,-0.085938,0.13077,0.33519,0.52226,0.68798,0.82963,0.94579,1.0363,1.1025,1.1467,1.1729,1.1856,1.1901,1.1909,1.191,1.191,1.191,1.191,1.191,1.191,1.191,1.191,1.191,1.191,1.191,1.191,1.191,1.191,1.191,1.191,1.191,1.191,1.191,1.191,1.191,1.1909,1.1901,1.1856,1.1729,1.1467,1.1025,1.0363,0.94578,0.82962,0.68797,0.52224,0.33517,0.13074,-0.085962,-0.30903,-0.5321,-0.7488,-0.95323,-1.1403,-1.306,-1.4477,-1.5638,-1.6544,-1.7205,-1.7648,-1.7909,-1.8036,-1.8081,-1.809,-1.809
