0,0.4,0.8,1.2,1.6,2,2.4,2.8,3.2,3.6,4,4.4,4.8,5.2,5.6,6,6.4,6.8,7.2,7.6,8,8.4,8.8,9.2,9.6,10,10.4,10.8,11.2,11.6,12,12.4,12.8,13.2,13.6,14,14.4,14.8,15.2,15.6,16
-4,-4,-3.9994,-3.9959,-3.9856,-3.963,-3.9222,-3.8575,-3.764,-3.6376,-3.4753,-3.2751,-3.0364,-2.7593,-2.4453,-2.097,-1.7179,-1.3127,-0.88694,-0.44708,-7.4179E-06,0.44707,0.88693,1.3127,1.7179,2.097,2.4453,2.7593,3.0364,3.2751,3.4753,3.6376,3.764,3.8575,3.9222,3.963,3.9856,3.9959,3.9994,4,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57
