0,0.2,0.4,0.6,0.8,1,1.2,1.4,1.6,1.8,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,4,4.2,4.4,4.6,4.8,5,5.2,5.4,5.6,5.8,6,6.2,6.4,6.6,6.8,7,7.2,7.4,7.6,7.8,8,8.2,8.4,8.6,8.8,9,9.2,9.4,9.6,9.8,10,10.2,10.4,10.6,10.8,11,11.2,11.4,11.6,11.8,12,12.2,12.4,12.6,12.8,13,13.2,13.4,13.6,13.8,14,14.2,14.4,14.6,14.8,15,15.2,15.4,15.6,15.8,16,16.2,16.4,16.6,16.8,17,17.2,17.4,17.6,17.8,18,18.2,18.4,18.6,18.8,19,19.2,19.4,19.6,19.8,20,20.2,20.4,20.6,20.8,21,21.2,21.4,21.6,21.8,22
-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.375,-1.3741,-1.3696,-1.3569,-1.3308,-1.2865,-1.2204,-1.1298,-1.0136,-0.87198,-0.70626,-0.51919,-0.31476,-0.098055,0.12501,0.34808,0.56478,0.76921,0.95628,1.122,1.2636,1.3798,1.4704,1.5365,1.5808,1.6069,1.6196,1.6241,1.625,1.625,1.625,1.625,1.625,1.625,1.625,1.625,1.625,1.625,1.625,1.625,1.625,1.625,1.625,1.625,1.625,1.625,1.625,1.625,1.625,1.625,1.625,1.6241,1.6196,1.6069,1.5808,1.5365,1.4704,1.3798,1.2636,1.122,0.95626,0.76919,0.56476,0.34806,0.12499,-0.098079,-0.31478,-0.51921,-0.70628,-0.872,-1.0136,-1.1298,-1.2204,-1.2865,-1.3308,-1.3569,-1.3696,-1.3741,-1.375,-1.375
-1.6495,-1.6495,-1.6495,-1.6495,-1.6495,-1.6495,-1.6495,-1.6495,-1.6495,-1.6495,-1.6495,-1.6494,-1.6459,-1.6301,-1.5905,-1.5183,-1.4086,-1.2609,-1.079,-0.87125,-0.64952,-0.42778,-0.22005,-0.038184,0.10958,0.2193,0.29149,0.33102,0.34688,0.35032,0.35048,0.35048,0.35048,0.35048,0.35048,0.35048,0.35048,0.35048,0.35048,0.35048,0.35048,0.35048,0.35048,0.35048,0.35048,0.35048,0.35048,0.35048,0.35048,0.35048,0.35048,0.35048,0.35048,0.35048,0.35048,0.35048,0.35048,0.35048,0.35048,0.35048,0.35048,0.35032,0.34688,0.33102,0.29149,0.2193,0.10957,-0.038188,-0.22005,-0.42779,-0.64952,-0.87126,-1.079,-1.2609,-1.4086,-1.5183,-1.5905,-1.6301,-1.6459,-1.6494,-1.6495,-1.6495,-1.6495,-1.6495,-1.6495,-1.6495,-1.6495,-1.6495,-1.6495,-1.6495,-1.6495,-1.6495,-1.6495,-1.6495,-1.6495,-1.6495,-1.6495,-1.6495,-1.6495,-1.6495,-1.6495,-1.6495,-1.6495,-1.6495,-1.6495,-1.6495,-1.6495,-1.6495,-1.6495,-1.6495,-1.6495
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
